RegionID,RegionName,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
102001,United States,US,95,98,84,72,67,67,69,71,75,77,77,83
394913,"New York, NY",NY,140,147,148,139,119,115,117,121,129,133,138,137
753899,"Los Angeles-Long Beach-Anaheim, CA",CA,86,89,70,64,62,63,65,67,68,70,69,74
394463,"Chicago, IL",IL,114,122,117,77,72,74,77,81,85,92,95,101
394514,"Dallas-Fort Worth, TX",TX,77,77,63,59,57,57,59,61,70,74,74,80
394974,"Philadelphia, PA",PA,103,110,106,85,81,78,81,83,86,90,85,88
394692,"Houston, TX",TX,96,98,89,75,71,72,70,75,83,90,94,98
395209,"Washington, DC",DC,94,91,66,56,56,60,63,68,71,71,70,78
394856,"Miami-Fort Lauderdale, FL",FL,109,109,105,101,105,101,99,98,104,99,99,97
394347,"Atlanta, GA",GA,86,84,64,64,61,62,64,66,71,73,76,81
394404,"Boston, MA",MA,90,100,75,65.5,63,64,65,70,72,70,69,77
395057,"San Francisco, CA",CA,70,47,42,42,41,43,45,49,53,48,49,61
394532,"Detroit, MI",MI,91,96,89,71,62,62,65,67,75,79,81,80
395025,"Riverside, CA",CA,90,95,82,77,70,68,72,72,76,75,75,80
394976,"Phoenix, AZ",AZ,72,72,62,61,58,58.5,58,56,53,53,53,56
395078,"Seattle, WA",WA,85,76,55,43,42,43,48,51,56,54,57,65
394865,"Minneapolis-St Paul, MN",MN,86,85,66,58,56,56,58,61,63,66,69,75
395056,"San Diego, CA",CA,83,83,63,58,56,56,57,59,61,63,63,65
395121,"St. Louis, MO",MO,93,95,75,58,57,57,58,60,61,64,64,69
395148,"Tampa, FL",FL,82,89,83,76,76,75,71,71,71,63,65,74
394358,"Baltimore, MD",MD,106,111,105,82,72,75,82,86,91,91,92,95
394530,"Denver, CO",CO,75,61,49,48,48,48,53,56,60,59,62,69
394982,"Pittsburgh, PA",PA,102,113.5,106,77,69,69,68,69,74,79,76,84
394998,"Portland, OR",OR,92,87,64.5,53,51,52,56,62,65,68,75,80
394458,"Charlotte, NC",NC,81,82,67,58,56,60,60,62,64,66,66,70
395045,"Sacramento, CA",CA,80,79,55,49,46,48,52,54,55,57,59,65
395055,"San Antonio, TX",TX,85,87,70.5,66,64,63,63,67,74.5,79,83,90
394943,"Orlando, FL",FL,88,91,82,77,70,75,73,71,73,66.5,68,72
394466,"Cincinnati, OH",OH,84,88,74.5,63,58,60,61,62,64,67,67,70
394475,"Cleveland, OH",OH,95,103,84,70,63,63,64,66,67,73,72,79
394735,"Kansas City, MO",MO,78,77,66,55,52,56,55,56,59,61,63,68
394775,"Las Vegas, NV",NV,79,82,71,67,70,66,69.5,74,74,75,75,81
394492,"Columbus, OH",OH,77,84,67,57,54,54,55,55,58,61,63,69
394705,"Indianapolis, IN",IN,78,85,75,61,56,56,58,60,63,64,68,73
395059,"San Jose, CA",CA,71,50,43,43,43.5,46,49,55,55,54,55,62
394355,"Austin, TX",TX,85.5,83,58,50,53,54,56,60,63,70,70,73
395194,"Virginia Beach, VA",VA,102.5,105,97,77,73,71,71,76,76,79,83,81
394902,"Nashville, TN",TN,84,85,71,66,61,61,62,62,66,66,70,74
395005,"Providence, RI",RI,101,114,111,85,75,70,74,75,78,80,80,83
394862,"Milwaukee, WI",WI,92,96,72,67,63,62,63,65,66,68,70,78
394714,"Jacksonville, FL",FL,94,98,85.5,74,70,72,74,74,83,84,84,87
394849,"Memphis, TN",TN,71,73,65,59,58,61,58,56.5,61,64,63,67
394935,"Oklahoma City, OK",OK,86,89,74,68,60,61,62,64,66,72,69,72
394807,"Louisville-Jefferson County, KY",KY,77,79,71,63,58,58,60,62,63,67,67,70
394669,"Hartford, CT",CT,108,119,115,85,77,74,75,81,85,87.5,89,97
395022,"Richmond, VA",VA,89,95,71,64,61,60,61,64,67,70,69,67
394910,"New Orleans, LA",LA,98,104,88,87,78,74,77,80.5,86,87,88,89
394425,"Buffalo, NY",NY,100,113,111,95,83,79,81,81.5,85,88,94,92
395012,"Raleigh, NC",NC,75,77,62,59,57,57,58,60,63,68,67,70
394388,"Birmingham, AL",AL,101,97,75,67,65,66,64,66,73.5,75,74,87
395053,"Salt Lake City, UT",UT,69,67,56,46,44,45,47,49,53,53,56,60
395031,"Rochester, NY",NY,95,105,83,72,70,70,69,70,74,76,78,82
394640,"Grand Rapids, MI",MI,71,76,63,52,45,48,52,56,60,63,64,71
395167,"Tucson, AZ",AZ,71,74,64,64,62,62,60,58,60,59,55,60
753924,"Urban Honolulu, HI",HI,81,91,82,83,85,79,80,80,82,81,90,82
395169,"Tulsa, OK",OK,105,111,96,78,65,65,67,69,69,74,74,70
394619,"Fresno, CA",CA,79.5,74,68,61,57,60,58,60,60,64,64,66
395238,"Worcester, MA",MA,94,109,92,71,67,66,69,70,74,72,75,81
394415,"Stamford, CT",CT,134,133,139.5,113,101,94,92,99,111,110,125,117
394312,"Albuquerque, NM",NM,92,93,78.5,66,60,60,60,62,66,73,70,72
394308,"Albany, NY",NY,119,122,139.5,122,89,90,88,91,98,100,100,111
394938,"Omaha, NE",NE,74,82,65,56,54,53,54,55,53,57,56,61
394908,"New Haven, CT",CT,112,115,126,97,83,78,81,85,89,94,97,90
394357,"Bakersfield, CA",CA,88,83,70,65,63,64,66,64,73,70,69,76
