RegionID,RegionName,StateCode,January,February,March,April,May,June,July,August,September,October,November,December
394865,"Minneapolis-St Paul, MN",MN,253200,257200,263900,267900,266700,265300,265200,267300,270300,273500,275600,275800
394543,"Duluth, MN",MN,146000,153000,156000,160400,157900,154200,153700,150500,148800,150500,155900,157300
395030,"Rochester, MN",MN,203100,210600,216500,219000,215200,215800,212900,217300,217100,219300,216100,215100
395118,"St. Cloud, MN",MN,176500,169900,176800,176800,188100,184700,188200,187700,189600,189500,190500,187500
394823,"Mankato, MN",MN,174000,178500,182400,190200,200600,201700,200700,196100,196400,197900,197600,195500
394410,"Brainerd, MN",MN,175700,170600,168800,170700,170700,170300,180100,184000,194600,199300,202900,198500
394586,"Faribault, MN",MN,225700,223600,218400,213200,213900,223500,229100,235200,234400,233500,236800,241900
394591,"Fergus Falls, MN",MN,168200,206100,202400,214000,177100,184900,178100,184400,194300,185200,196900,189000
395234,"Winona, MN",MN,161400,167000,161600,159200,157800,164000,165000,164100,151600,148100,152400,156500
395017,"Red Wing, MN",MN,177900,182300,188200,204200,202600,202600,206400,206900,203000,194900,198800,202200
786259,"Grand Rapids, MN",MN,144900,147500,148800,146300,144100,142100,139300,144600,140200,145600,142800,153400
394379,"Bemidji, MN",MN,157300,160100,162300,157100,158500,157700,160800,155900,152400,155200,152200,163100
395228,"Willmar, MN",MN,158000,160000,154800,152400,151300,153900,164300,160500,160000,151500,158700,151200
394354,"Austin, MN",MN,107800,108900,118700,119900,110500,100000,103800,100900,102800,103300,113600,114200
394702,"Hutchinson, MN",MN,172100,185200,184000,190300,179900,171600,164400,165900,172400,174500,172600,169600
394948,"Owatonna, MN",MN,173900,181800,190400,184900,181300,171700,170500,178700,182500,172100,163000,165000
394310,"Albert Lea, MN",MN,83500,85500,99200,100300,113000,107400,117600,111300,106800,102900,97500,106200
102001,United States,US,226000,228300,230900,231500,231300,231900,232400,233100,233800,235900,239200,242100
