RegionID,RegionName,StateCode,January,February,March,April,May,June,July,August,September,October,November,December
394865,"Minneapolis-St Paul, MN",MN,5206,5568,5680,5642,5296,5328,5520,5641,5720,5819,5667,5703
394543,"Duluth, MN",MN,423,466,466,453,413,414,436,432,430,418,418,432
395030,"Rochester, MN",MN,359,356,359,329,321,338,348,356,351,355,362,351
395118,"St. Cloud, MN",MN,260,272,259,260,252,274,287,285,270,268,267,287
394823,"Mankato, MN",MN,136,132,113,112,103,117,115,119,115,113,121,139
394410,"Brainerd, MN",MN,126,146,151,131,113,113,127,130,141,136,131,122
394586,"Faribault, MN",MN,94,88,81,78,80,83,94,91,97,89,87,88
394591,"Fergus Falls, MN",MN,62,93,105,91,63,62,71,75,69,73,65,68
395234,"Winona, MN",MN,65,77,81,76,65,58,62,64,68,71,67,66
395017,"Red Wing, MN",MN,51,64,59,58,45,51,61,68,68,69,66,67
786259,"Grand Rapids, MN",MN,57,51,49,57,66,70,73,74,69,67,60,61
394379,"Bemidji, MN",MN,45,45,45,53,58,65,59,63,57,57,49,54
395228,"Willmar, MN",MN,64,85,97,92,71,71,74,71,63,66,67,61
394354,"Austin, MN",MN,74,75,86,84,79,76,73,75,70,68,59,63
394702,"Hutchinson, MN",MN,55,60,55,54,52,61,63,66,61,63,61,66
394948,"Owatonna, MN",MN,58,66,77,73,58,54,57,54,58,53,59,56
394315,"Alexandria, MN",MN,66,69,71,63,57,61,64,66,56,57,52,65
394310,"Albert Lea, MN",MN,48,52,52,45,40,39,43,44,44,47,45,42
394830,"Marshall, MN",MN,31,30,28,22,18,20,22,27,29,33,30,28
395239,"Worthington, MN",MN,10,12,16,18,14,12,13,16,19,18,19,13
786257,"Fairmont, MN",MN,30,57,62,67,33,28,27,30,29,25,30,30
102001,United States,US,420802,427180,433953,435118,433762,429353,431833,427153,434926,436250,434117,441201
